RECORD_TYPE,RECORD_ID,DATESTAMP,TRANSACTION_TYPE,DISCOUNT_CODE,D_PRODUCT,MSG_ID,VOLUME_UNIT_TYPE,VOLUME_UNITS,ACCESS_ID,PROFILE_ID,MOBILE_ID,REGION,AMOUNT
MR,1,2024-09-01 00:00:00,0A,31,IDPMMF,2036432,L,100,          ,60001406,01104919SKY16B0,,132000
MR,2,2024-09-01 00:00:00,0A,31,IDPMMF,5806487,L,100,          ,60001406,01377867SKYB9B4,,132000
MR,3,2024-09-01 00:00:00,0A,0,OGXMMF,7279865,L,100,          ,60001406,01369652SKY3D41,,132500
MR,4,2024-09-01 00:00:00,0A,31,IDPMMF,3638845,L,100,          ,60001406,01382818SKYF667,,132000
MR,5,2024-09-01 00:00:00,0A,31,IDPMMF,3638844,L,100,          ,60001406,01382820SKYFE71,,132000
MR,6,2024-09-01 00:00:00,0A,31,IDPMMF,4073966,L,100,          ,60001406,01446835SKY9CBC,,132000
MR,7,2024-09-01 00:00:00,0A,31,IDPMMF,4073967,L,100,          ,60001406,01446845SKYC4EE,,132000
MR,8,2024-09-01 00:00:00,0A,31,IDPMMF,4073964,L,100,          ,60001406,01446850SKY5907,,132000
MR,9,2024-09-01 00:00:00,0A,31,IDPMMF,4073965,L,100,          ,60001406,01446854SKY691B,,132000
MR,10,2024-09-01 00:00:00,0A,31,IDPMMF,4073968,L,100,          ,60001406,01446857SKYF52A,,132000
MR,11,2024-09-01 00:00:00,0A,31,IDPMMF,7001849,L,100,          ,60001406,01520498SKYB777,,132000
MR,12,2024-09-01 00:00:00,0A,31,IDPMMF,5534706,L,100,          ,60001406,01680651SKYD374,,132000
MR,13,2024-09-01 00:00:00,0A,31,IDPMMF,5823603,L,100,          ,60001406,01680675SKY33EC,,132000
MR,14,2024-09-01 00:00:00,0A,31,IDPMMF,5314081,L,100,          ,60001406,01689767SKYF580,,132000
MR,15,2024-09-01 00:00:00,0A,31,IDPMMF,5314082,L,100,          ,60001406,01692423SKYA960,,132000
MR,16,2024-09-01 00:00:00,0A,31,IDPMMF,5974047,L,100,          ,60001406,01802778SKYE0BF,,132000
MR,17,2024-09-01 00:00:00,0A,31,IDPMMF,7001850,L,100,          ,60001406,01995175QCS4280,,132000
MR,18,2024-09-01 00:00:00,0A,31,IDPMMF,7144386,L,100,          ,60001406,02045838SKY3C03,,132000
MR,19,2024-09-01 00:00:00,0A,0,OGXMMF,7324735,L,100,          ,60001406,02046432SKY8F9D,,132500
MR,20,2024-09-01 00:00:00,0A,31,IDPMMF,7005165,L,100,          ,60001406,02046435SKY1BAC,,132000
MA,21,2024-09-01 00:00:11,96,1,IDPDAT,773314288,Y,10000,  70001406,60001406,01382820SKYFE71,APACRB7,0
MA,22,2024-09-01 00:00:11,96,0,IDPDAT,773314288,Y,3470,  70001406,60001406,01382820SKYFE71,APACRB7,28801
MA,23,2024-09-01 00:00:12,96,1,IDPDAT,17412433150,Y,10000,  70001406,60001406,02045838SKY3C03,APACRB11,0
MA,24,2024-09-01 00:00:12,96,0,IDPDAT,17412433150,Y,3440,  70001406,60001406,02045838SKY3C03,APACRB11,28552
MA,25,2024-09-01 00:00:15,AA,0,OGXDAT,17412433520,Y,60982,  70001406,60001406,02046432SKY8F9D,APACRB7,518347
MA,26,2024-09-01 00:00:16,96,1,IDPDAT,17412433755,Y,10000,  70001406,60001406,01382818SKYF667,APACRB7,0
MA,27,2024-09-01 00:00:16,96,0,IDPDAT,17412433755,Y,3440,  70001406,60001406,01382818SKYF667,APACRB7,28552
MA,28,2024-09-01 00:14:05,96,1,IDPDAT,17412506609,Y,10000,  70001406,60001406,01680675SKY33EC,APACRB7,0
MA,29,2024-09-01 00:14:05,96,0,IDPDAT,17412506609,Y,2790,  70001406,60001406,01680675SKY33EC,APACRB7,23157
MA,30,2024-09-01 02:00:20,96,1,IDPDAT,17412984025,Y,10000,  70001406,60001406,01377867SKYB9B4,APACRB7,0
MA,31,2024-09-01 02:00:20,96,0,IDPDAT,17412984025,Y,1920,  70001406,60001406,01377867SKYB9B4,APACRB7,15936
MA,32,2024-09-01 03:14:21,AA,0,OGXDAT,17413320439,Y,84770,  70001406,60001406,01369652SKY3D41,APACRB7,720545
MA,33,2024-09-01 11:46:08,96,1,IDPDAT,773052311,Y,4150,  70001406,60001406,01692423SKYA960,APACRB7,0
MA,34,2024-09-01 11:46:08,96,1,IDPDAT,773052312,Y,6170,  70001406,60001406,01802778SKYE0BF,APACRB7,0
MA,35,2024-09-01 11:46:11,96,1,IDPDAT,773052316,Y,3120,  70001406,60001406,01446850SKY5907,APACRB7,0
MA,36,2024-09-01 11:46:11,96,1,IDPDAT,773052319,Y,4190,  70001406,60001406,01446854SKY691B,APACRB7,0
MA,37,2024-09-01 11:46:11,96,1,IDPDAT,773052342,Y,4150,  70001406,60001406,01446857SKYF52A,APACRB7,0
MA,38,2024-09-01 11:46:12,96,1,IDPDAT,773052325,Y,4440,  70001406,60001406,01446835SKY9CBC,APACRB7,0
MA,39,2024-09-01 11:46:12,96,1,IDPDAT,773052331,Y,4370,  70001406,60001406,01446845SKYC4EE,APACRB7,0
MA,40,2024-09-26 03:17:57,96,1,IDPDAT,792403713,Y,850,  70001406,60001406,01689767SKYF580,APACRB7,0
