RECORD_TYPE,RECORD_ID,DATESTAMP,TRANSACTION_TYPE,DISCOUNT_CODE,D_PRODUCT,MSG_ID,VOLUME_UNIT_TYPE,VOLUME_UNITS,ACCESS_ID,PROFILE_ID,MOBILE_ID,REGION,AMOUNT
MR,1,2024-06-01 00:00:00,0A,31,IDPMMF,6800869,L,100,          ,60002798,01446847SKYCCF8,,198000
MR,2,2024-06-01 00:00:00,0A,31,IDPMMF,6832394,L,100,          ,60002798,01556650SKY598F,,198000
MR,3,2024-06-01 00:00:00,0A,31,IDPMMF,6478791,L,100,          ,60002798,01664109SKY185E,,198000
MR,4,2024-06-01 00:00:00,0A,31,IDPMMF,4962024,L,100,          ,60002798,01664180SKYB5C1,,198000
MR,5,2024-06-01 00:00:00,0A,31,IDPMMF,4964758,L,100,          ,60002798,01664176SKYA5AD,,198000
MR,6,2024-06-01 00:00:00,0A,31,IDPMMF,6478790,L,100,          ,60002798,01664182SKYBDCB,,198000
MR,7,2024-06-01 00:00:00,0A,31,IDPMMF,4995358,L,100,          ,60002798,01665706SKYAB8F,,198000
MR,8,2024-06-01 00:00:00,0A,31,IDPMMF,5250261,L,100,          ,60002798,01680359SKY3DC0,,198000
MR,9,2024-06-01 00:00:00,0A,31,IDPMMF,5215134,L,100,          ,60002798,01680389SKYB656,,198000
MR,10,2024-06-01 00:00:00,0A,31,IDPMMF,5215131,L,100,          ,60002798,01680375SKY7E10,,198000
MR,11,2024-06-01 00:00:00,0A,31,IDPMMF,7122425,L,100,          ,60002798,01680386SKY2A47,,198000
MR,12,2024-06-01 00:00:00,0A,31,IDPMMF,6525343,L,100,          ,60002798,01680599SKY0270,,198000
MR,13,2024-06-01 00:00:00,0A,31,IDPMMF,6681641,L,100,          ,60002798,01689770SKY818F,,198000
MR,14,2024-06-01 00:00:00,0A,31,IDPMMF,6025074,L,100,          ,60002798,01689769SKYFD8A,,198000
MR,15,2024-06-01 00:00:00,0A,31,IDPMMF,6600398,L,100,          ,60002798,01901043SKY43FC,,198000
MR,16,2024-06-01 00:00:00,0A,31,IDPMMF,6751469,L,100,          ,60002798,02045827SKY8FCC,,198000
MR,17,2024-06-01 00:00:00,0A,31,IDPMMF,6745832,L,100,          ,60002798,02045848SKY6435,,198000
MA,18,2024-06-01 00:00:20,96,1,IDPDAT,700053260,Y,11620,  70002798,60002798,01689770SKY818F,APACRB7,0
MA,19,2024-06-01 00:00:38,96,1,IDPDAT,16668773422,Y,25000,  70002798,60002798,01680359SKY3DC0,APACRB7,0
MA,20,2024-06-01 00:00:38,96,0,IDPDAT,16668773422,Y,9160,  70002798,60002798,01680359SKY3DC0,APACRB7,50380
MA,21,2024-06-01 00:03:10,96,1,IDPDAT,16668788906,Y,25000,  70002798,60002798,01680386SKY2A47,APACRB7,0
MA,22,2024-06-01 00:03:10,96,0,IDPDAT,16668788906,Y,10860,  70002798,60002798,01680386SKY2A47,APACRB7,59730
MA,23,2024-06-01 00:12:36,96,1,IDPDAT,700640684,Y,12720,  70002798,60002798,01680599SKY0270,APACRB7,0
MA,24,2024-06-01 00:25:27,96,1,IDPDAT,16668905873,Y,25000,  70002798,60002798,01664180SKYB5C1,APACRB7,0
MA,25,2024-06-01 00:25:27,96,0,IDPDAT,16668905873,Y,400,  70002798,60002798,01664180SKYB5C1,APACRB7,2200
MA,26,2024-06-01 00:29:22,96,1,IDPDAT,16668925456,Y,25000,  70002798,60002798,01664182SKYBDCB,APACRB7,0
MA,27,2024-06-01 00:29:22,96,0,IDPDAT,16668925456,Y,60,  70002798,60002798,01664182SKYBDCB,APACRB7,330
MA,28,2024-06-01 01:02:08,96,1,IDPDAT,698417423,Y,11850,  70002798,60002798,01901043SKY43FC,APACRB7,0
MA,29,2024-06-01 01:03:53,96,1,IDPDAT,16669100523,Y,25000,  70002798,60002798,01680389SKYB656,APACRB7,0
MA,30,2024-06-01 01:03:53,96,0,IDPDAT,16669100523,Y,910,  70002798,60002798,01680389SKYB656,APACRB7,5005
MA,31,2024-06-01 01:09:00,96,1,IDPDAT,16669126126,Y,25000,  70002798,60002798,01556650SKY598F,APACRB7,0
MA,32,2024-06-01 01:09:00,96,0,IDPDAT,16669126126,Y,270,  70002798,60002798,01556650SKY598F,APACRB7,1485
MA,33,2024-06-01 01:13:53,96,1,IDPDAT,16669150754,Y,12890,  70002798,60002798,01664176SKYA5AD,APACRB7,0
MA,34,2024-06-01 01:19:59,96,1,IDPDAT,16669180346,Y,8050,  70002798,60002798,01664109SKY185E,APACRB7,0
MA,35,2024-06-01 03:41:56,96,1,IDPDAT,16669877392,Y,2040,  70002798,60002798,01665706SKYAB8F,APACRB7,0
MA,36,2024-06-01 12:18:18,96,1,IDPDAT,698829878,Y,5980,  70002798,60002798,01446847SKYCCF8,APACRB7,0
MA,37,2024-06-18 14:23:32,96,1,IDPDAT,711779060,Y,8720,  70002798,60002798,02045827SKY8FCC,APACRB7,0
