RECORD_TYPE,RECORD_ID,DATESTAMP,TRANSACTION_TYPE,DISCOUNT_CODE,D_PRODUCT,MSG_ID,VOLUME_UNIT_TYPE,VOLUME_UNITS,ACCESS_ID,PROFILE_ID,MOBILE_ID,REGION,AMOUNT
MR,1,2024-07-01 00:00:00,0A,31,IDPMMF,6800869,L,100,          ,60002798,01446847SKYCCF8,,198000
MR,2,2024-07-01 00:00:00,0A,31,IDPMMF,6832394,L,100,          ,60002798,01556650SKY598F,,198000
MR,3,2024-07-01 00:00:00,0A,31,IDPMMF,6478791,L,100,          ,60002798,01664109SKY185E,,198000
MR,4,2024-07-01 00:00:00,0A,31,IDPMMF,4962024,L,100,          ,60002798,01664180SKYB5C1,,198000
MR,5,2024-07-01 00:00:00,0A,31,IDPMMF,4964758,L,100,          ,60002798,01664176SKYA5AD,,198000
MR,6,2024-07-01 00:00:00,0A,31,IDPMMF,6478790,L,100,          ,60002798,01664182SKYBDCB,,198000
MR,7,2024-07-01 00:00:00,0A,31,IDPMMF,4995358,L,100,          ,60002798,01665706SKYAB8F,,198000
MR,8,2024-07-01 00:00:00,0A,31,IDPMMF,5250261,L,100,          ,60002798,01680359SKY3DC0,,198000
MR,9,2024-07-01 00:00:00,0A,31,IDPMMF,5215134,L,100,          ,60002798,01680389SKYB656,,198000
MR,10,2024-07-01 00:00:00,0A,31,IDPMMF,5215131,L,100,          ,60002798,01680375SKY7E10,,198000
MR,11,2024-07-01 00:00:00,0A,31,IDPMMF,7122425,L,100,          ,60002798,01680386SKY2A47,,198000
MR,12,2024-07-01 00:00:00,0A,31,IDPMMF,6525343,L,100,          ,60002798,01680599SKY0270,,198000
MR,13,2024-07-01 00:00:00,0A,31,IDPMMF,6681641,L,100,          ,60002798,01689770SKY818F,,198000
MR,14,2024-07-01 00:00:00,0A,31,IDPMMF,6025074,L,100,          ,60002798,01689769SKYFD8A,,198000
MR,15,2024-07-01 00:00:00,0A,31,IDPMMF,6600398,L,100,          ,60002798,01901043SKY43FC,,198000
MR,16,2024-07-01 00:00:00,0A,31,IDPMMF,6751469,L,100,          ,60002798,02045827SKY8FCC,,198000
MR,17,2024-07-01 00:00:00,0A,31,IDPMMF,6745832,L,100,          ,60002798,02045848SKY6435,,198000
MA,18,2024-07-01 00:02:10,96,1,IDPDAT,16910925980,Y,25000,  70002798,60002798,01680389SKYB656,APACRB7,0
MA,19,2024-07-01 00:02:10,96,0,IDPDAT,16910925980,Y,1320,  70002798,60002798,01680389SKYB656,APACRB7,7260
MA,20,2024-07-01 00:02:24,96,1,IDPDAT,16910927239,Y,25000,  70002798,60002798,01680359SKY3DC0,APACRB7,0
MA,21,2024-07-01 00:02:24,96,0,IDPDAT,16910927239,Y,1630,  70002798,60002798,01680359SKY3DC0,APACRB7,8965
MA,22,2024-07-01 00:06:47,96,1,IDPDAT,741535308,Y,18430,  70002798,60002798,01664180SKYB5C1,APACRB7,0
MA,23,2024-07-01 00:06:53,96,1,IDPDAT,16910950016,Y,25000,  70002798,60002798,01680386SKY2A47,APACRB7,0
MA,24,2024-07-01 00:06:53,96,0,IDPDAT,16910950016,Y,12900,  70002798,60002798,01680386SKY2A47,APACRB7,70950
MA,25,2024-07-01 00:11:27,96,1,IDPDAT,16910973217,Y,16380,  70002798,60002798,01664182SKYBDCB,APACRB7,0
MA,26,2024-07-01 00:15:22,96,1,IDPDAT,16910992861,Y,12380,  70002798,60002798,01446847SKYCCF8,APACRB7,0
MA,27,2024-07-01 00:19:09,96,1,IDPDAT,722869680,Y,8930,  70002798,60002798,01689770SKY818F,APACRB7,0
MA,28,2024-07-01 00:52:14,96,1,IDPDAT,16911170910,Y,8710,  70002798,60002798,01664176SKYA5AD,APACRB7,0
MA,29,2024-07-01 01:09:17,96,1,IDPDAT,16911253192,Y,21270,  70002798,60002798,01556650SKY598F,APACRB7,0
MA,30,2024-07-01 03:45:21,96,1,IDPDAT,16912006602,Y,2110,  70002798,60002798,01665706SKYAB8F,APACRB7,0
MA,31,2024-07-01 04:36:40,96,1,IDPDAT,16912252379,Y,7480,  70002798,60002798,01664109SKY185E,APACRB7,0
MA,32,2024-07-02 02:52:19,96,1,IDPDAT,723078208,Y,13830,  70002798,60002798,01680599SKY0270,APACRB7,0
MA,33,2024-07-03 00:24:52,96,1,IDPDAT,724492579,Y,14090,  70002798,60002798,01901043SKY43FC,APACRB7,0
