RECORD_TYPE,RECORD_ID,DATESTAMP,TRANSACTION_TYPE,DISCOUNT_CODE,D_PRODUCT,MSG_ID,VOLUME_UNIT_TYPE,VOLUME_UNITS,ACCESS_ID,PROFILE_ID,MOBILE_ID,REGION,AMOUNT
MR,1,2024-08-01 00:00:00,0A,31,IDPMMF,6800869,L,100,          ,60002798,01446847SKYCCF8,,198000
MR,2,2024-08-01 00:00:00,0A,31,IDPMMF,6832394,L,100,          ,60002798,01556650SKY598F,,198000
MR,3,2024-08-01 00:00:00,0A,31,IDPMMF,6478791,L,100,          ,60002798,01664109SKY185E,,198000
MR,4,2024-08-01 00:00:00,0A,31,IDPMMF,4962024,L,100,          ,60002798,01664180SKYB5C1,,198000
MR,5,2024-08-01 00:00:00,0A,31,IDPMMF,4964758,L,100,          ,60002798,01664176SKYA5AD,,198000
MR,6,2024-08-01 00:00:00,0A,31,IDPMMF,6478790,L,100,          ,60002798,01664182SKYBDCB,,198000
MR,7,2024-08-01 00:00:00,0A,31,IDPMMF,4995358,L,100,          ,60002798,01665706SKYAB8F,,198000
MR,8,2024-08-01 00:00:00,0A,31,IDPMMF,5250261,L,100,          ,60002798,01680359SKY3DC0,,198000
MR,9,2024-08-01 00:00:00,0A,31,IDPMMF,5215134,L,100,          ,60002798,01680389SKYB656,,198000
MR,10,2024-08-01 00:00:00,0A,31,IDPMMF,5215131,L,100,          ,60002798,01680375SKY7E10,,198000
MR,11,2024-08-01 00:00:00,0A,31,IDPMMF,7122425,L,100,          ,60002798,01680386SKY2A47,,198000
MR,12,2024-08-01 00:00:00,0A,31,IDPMMF,6525343,L,100,          ,60002798,01680599SKY0270,,198000
MR,13,2024-08-01 00:00:00,0A,31,IDPMMF,6681641,L,100,          ,60002798,01689770SKY818F,,198000
MR,14,2024-08-01 00:00:00,0A,31,IDPMMF,6025074,L,100,          ,60002798,01689769SKYFD8A,,198000
MR,15,2024-08-01 00:00:00,0A,31,IDPMMF,6600398,L,100,          ,60002798,01901043SKY43FC,,198000
MR,16,2024-08-01 00:00:00,0A,31,IDPMMF,6751469,L,100,          ,60002798,02045827SKY8FCC,,198000
MR,17,2024-08-01 00:00:00,0A,31,IDPMMF,6745832,L,100,          ,60002798,02045848SKY6435,,198000
MA,18,2024-08-01 00:00:04,96,1,IDPDAT,752231401,Y,14440,  70002798,60002798,01680599SKY0270,APACRB7,0
MA,19,2024-08-01 00:00:41,96,1,IDPDAT,17164005083,Y,15710,  70002798,60002798,01664182SKYBDCB,APACRB7,0
MA,20,2024-08-01 00:02:38,96,1,IDPDAT,17164018059,Y,15610,  70002798,60002798,01680359SKY3DC0,APACRB7,0
MA,21,2024-08-01 00:12:39,96,1,IDPDAT,17164074340,Y,25000,  70002798,60002798,01680386SKY2A47,APACRB7,0
MA,22,2024-08-01 00:12:39,96,0,IDPDAT,17164074340,Y,12900,  70002798,60002798,01680386SKY2A47,APACRB7,70950
MA,23,2024-08-01 00:13:33,96,1,IDPDAT,751737610,Y,10900,  70002798,60002798,01901043SKY43FC,APACRB7,0
MA,24,2024-08-01 00:41:13,96,1,IDPDAT,17164226299,Y,4510,  70002798,60002798,01446847SKYCCF8,APACRB7,0
MA,25,2024-08-01 00:41:47,96,1,IDPDAT,753280728,Y,17740,  70002798,60002798,01664180SKYB5C1,APACRB7,0
MA,26,2024-08-01 00:42:22,96,1,IDPDAT,17164232248,Y,9590,  70002798,60002798,01664176SKYA5AD,APACRB7,0
MA,27,2024-08-01 01:00:57,96,1,IDPDAT,17164330524,Y,7260,  70002798,60002798,01664109SKY185E,APACRB7,0
MA,28,2024-08-01 01:39:53,96,1,IDPDAT,17164530198,Y,20390,  70002798,60002798,01680389SKYB656,APACRB7,0
MA,29,2024-08-01 03:48:37,96,1,IDPDAT,17165195161,Y,2110,  70002798,60002798,01665706SKYAB8F,APACRB7,0
MA,30,2024-08-01 05:07:56,96,1,IDPDAT,17165597920,Y,13960,  70002798,60002798,01556650SKY598F,APACRB7,0
MA,31,2024-08-01 23:45:17,96,1,IDPDAT,751253332,Y,12320,  70002798,60002798,01689770SKY818F,APACRB7,0
MA,32,2024-08-16 15:31:44,96,1,IDPDAT,761527156,Y,18880,  70002798,60002798,02045827SKY8FCC,APACRB7,0
