RECORD_TYPE,RECORD_ID,DATESTAMP,TRANSACTION_TYPE,DISCOUNT_CODE,D_PRODUCT,MSG_ID,VOLUME_UNIT_TYPE,VOLUME_UNITS,ACCESS_ID,PROFILE_ID,MOBILE_ID,REGION,AMOUNT
MR,1,2024-06-01 00:00:00,0A,0,IDPMMF,6290877,L,100,          ,60003193,01820338SKY97B7,,737000
MR,2,2024-06-01 00:00:00,0A,0,IDPMMF,6390188,L,100,          ,60003193,01820335SKY0BA8,,737000
MR,3,2024-06-01 00:00:00,0A,0,IDPMMF,6718994,L,100,          ,60003193,02004552SKYFDA5,,737000
MR,4,2024-06-01 00:00:00,0A,0,IDPMMF,6718993,L,100,          ,60003193,02004550SKYF59B,,737000
MR,5,2024-06-01 00:00:00,0A,0,IDPMMF,6797169,L,100,          ,60003193,02007950SKY5803,,737000
MR,6,2024-06-01 00:00:00,0A,0,IDPMMF,7025380,L,100,          ,60003193,02046341SKYA1D6,,737000
MR,7,2024-06-01 00:00:00,0A,0,IDPMMF,6893779,L,100,          ,60003193,02046425SKYF37A,,737000
MR,8,2024-06-01 00:00:00,0A,0,IDPMMF,7130826,L,100,          ,60003193,02045636SKY1011,,737000
MA,9,2024-06-01 00:00:01,96,0,IDPDAT,16668767746,Y,6404140,  70003193,60003193,02046425SKYF37A,APACRB7,4482898
MA,10,2024-06-01 00:00:26,96,2,IDPDAT,699133213,Y,2933100,  70003193,60003193,01820335SKY0BA8,APACRB7,0
MA,11,2024-06-01 00:00:26,96,0,IDPDAT,699133213,Y,4081010,  70003193,60003193,01820335SKY0BA8,APACRB7,2856707
MA,12,2024-06-01 00:01:03,96,0,IDPDAT,700071389,Y,6606120,  70003193,60003193,02004550SKYF59B,APACRB7,4624284
MA,13,2024-06-01 00:01:08,96,0,IDPDAT,16668777031,Y,5638870,  70003193,60003193,02045636SKY1011,APACRB7,3947209
MA,14,2024-06-01 00:03:26,96,0,IDPDAT,16668790578,Y,5537310,  70003193,60003193,02007950SKY5803,APACRB7,3876117
MA,15,2024-06-01 00:05:14,96,2,IDPDAT,16668800333,Y,5936900,  70003193,60003193,01820338SKY97B7,APACRB7,0
MA,16,2024-06-01 00:05:29,96,0,IDPDAT,16668801772,Y,7078560,  70003193,60003193,02046341SKYA1D6,APACRB7,4954992
MA,17,2024-06-01 00:13:14,96,0,IDPDAT,705834089,Y,6107030,  70003193,60003193,02004552SKYFDA5,APACRB7,4274921
MR,18,2024-06-03 02:37:33,64,0,IDPACT,7166165,A,1,          ,60003193,01995201QCSAB02,,200000
MR,19,2024-06-03 02:37:33,0A,0,IDPMMF,7166165,L,87,          ,60003193,01995201QCSAB02,,641190
MA,20,2024-06-04 01:02:18,96,0,IDPDAT,716167483,Y,4609410,  70003193,60003193,01995201QCSAB02,APACRB7,3226587
MR,21,2024-06-28 05:52:39,65,0,IDPDCT,7207223,A,1,          ,60003193,01995201QCSAB02,,0
