RECORD_TYPE,RECORD_ID,DATESTAMP,TRANSACTION_TYPE,DISCOUNT_CODE,D_PRODUCT,MSG_ID,VOLUME_UNIT_TYPE,VOLUME_UNITS,ACCESS_ID,PROFILE_ID,MOBILE_ID,REGION,AMOUNT
MR,1,2024-07-01 00:00:00,0A,0,IDPMMF,6290877,L,100,          ,60003193,01820338SKY97B7,,737000
MR,2,2024-07-01 00:00:00,0A,0,IDPMMF,6390188,L,100,          ,60003193,01820335SKY0BA8,,737000
MR,3,2024-07-01 00:00:00,0A,0,IDPMMF,6718994,L,100,          ,60003193,02004552SKYFDA5,,737000
MR,4,2024-07-01 00:00:00,0A,0,IDPMMF,6718993,L,100,          ,60003193,02004550SKYF59B,,737000
MR,5,2024-07-01 00:00:00,0A,0,IDPMMF,6797169,L,100,          ,60003193,02007950SKY5803,,737000
MR,6,2024-07-01 00:00:00,0A,0,IDPMMF,7025380,L,100,          ,60003193,02046341SKYA1D6,,737000
MR,7,2024-07-01 00:00:00,0A,0,IDPMMF,6893779,L,100,          ,60003193,02046425SKYF37A,,737000
MR,8,2024-07-01 00:00:00,0A,0,IDPMMF,7130826,L,100,          ,60003193,02045636SKY1011,,737000
MA,9,2024-07-01 00:00:07,96,2,IDPDAT,722646101,Y,3503740,  70003193,60003193,01820335SKY0BA8,APACRB7,0
MA,10,2024-07-01 00:00:07,96,0,IDPDAT,722646101,Y,1005980,  70003193,60003193,01820335SKY0BA8,APACRB7,704186
MA,11,2024-07-01 00:00:38,96,0,IDPDAT,16910916643,Y,6317010,  70003193,60003193,02045636SKY1011,APACRB7,4421907
MA,12,2024-07-01 00:03:38,96,2,IDPDAT,16910933625,Y,4826260,  70003193,60003193,01820338SKY97B7,APACRB7,0
MA,13,2024-07-01 00:05:26,96,0,IDPDAT,16910942791,Y,7224700,  70003193,60003193,02046341SKYA1D6,APACRB7,5057290
MA,14,2024-07-01 00:08:57,96,0,IDPDAT,16910960192,Y,6829900,  70003193,60003193,02046425SKYF37A,APACRB7,4780930
MA,15,2024-07-01 00:15:34,96,0,IDPDAT,16910993901,Y,6929470,  70003193,60003193,02004552SKYFDA5,APACRB7,4850629
MA,16,2024-07-01 00:24:05,96,0,IDPDAT,725761266,Y,7207620,  70003193,60003193,02004550SKYF59B,APACRB7,5045334
MA,17,2024-07-01 00:27:59,96,0,IDPDAT,16911054230,Y,5827750,  70003193,60003193,02007950SKY5803,APACRB7,4079425
MR,18,2024-07-22 01:11:36,64,0,IDPACT,7245566,A,1,          ,60003193,01995539QCSF99C,,200000
MR,19,2024-07-22 01:11:36,0A,0,IDPMMF,7245566,L,33,          ,60003193,01995539QCSF99C,,243210
MA,20,2024-07-22 05:19:26,96,0,IDPDAT,17082233601,Y,2470050,  70003193,60003193,01995539QCSF99C,APACRB7,1729035
