RECORD_TYPE,RECORD_ID,DATESTAMP,TRANSACTION_TYPE,DISCOUNT_CODE,D_PRODUCT,MSG_ID,VOLUME_UNIT_TYPE,VOLUME_UNITS,ACCESS_ID,PROFILE_ID,MOBILE_ID,REGION,AMOUNT
MR,1,2024-08-01 00:00:00,0A,0,IDPMMF,6290877,L,88,          ,60003193,01820338SKY97B7,,648560
MR,2,2024-08-01 00:00:00,0A,0,IDPMMF,6390188,L,100,          ,60003193,01820335SKY0BA8,,737000
MR,3,2024-08-01 00:00:00,0A,0,IDPMMF,7245566,L,100,          ,60003193,01995539QCSF99C,,737000
MR,4,2024-08-01 00:00:00,0A,0,IDPMMF,6718994,L,100,          ,60003193,02004552SKYFDA5,,737000
MR,5,2024-08-01 00:00:00,0A,0,IDPMMF,6718993,L,100,          ,60003193,02004550SKYF59B,,737000
MR,6,2024-08-01 00:00:00,0A,0,IDPMMF,6797169,L,100,          ,60003193,02007950SKY5803,,737000
MR,7,2024-08-01 00:00:00,0A,0,IDPMMF,7025380,L,100,          ,60003193,02046341SKYA1D6,,737000
MR,8,2024-08-01 00:00:00,0A,0,IDPMMF,6893779,L,100,          ,60003193,02046425SKYF37A,,737000
MR,9,2024-08-01 00:00:00,0A,0,IDPMMF,7130826,L,100,          ,60003193,02045636SKY1011,,737000
MA,10,2024-08-01 00:00:26,96,0,IDPDAT,17164003047,Y,6701700,  70003193,60003193,02045636SKY1011,APACRB7,4691190
MA,11,2024-08-01 00:00:27,96,2,IDPDAT,751160732,Y,8076830,  70003193,60003193,01820335SKY0BA8,APACRB7,0
MA,12,2024-08-01 00:01:00,96,0,IDPDAT,17164007383,Y,7637880,  70003193,60003193,02004550SKYF59B,APACRB7,5346516
MA,13,2024-08-01 00:02:36,96,0,IDPDAT,751265520,Y,6036280,  70003193,60003193,02007950SKY5803,APACRB7,4225396
MA,14,2024-08-01 00:05:49,96,0,IDPDAT,17164036270,Y,7801600,  70003193,60003193,02046341SKYA1D6,APACRB7,5461120
MA,15,2024-08-01 00:30:47,96,0,IDPDAT,753768514,Y,7277850,  70003193,60003193,02046425SKYF37A,APACRB7,5094495
MA,16,2024-08-01 00:34:12,96,0,IDPDAT,751104433,Y,7365340,  70003193,60003193,02004552SKYFDA5,APACRB7,5155738
MA,17,2024-08-01 09:04:11,96,2,IDPDAT,753814419,Y,973170,  70003193,60003193,01995539QCSF99C,APACRB7,0
MA,18,2024-08-01 09:04:11,96,0,IDPDAT,753814419,Y,3720290,  70003193,60003193,01995539QCSF99C,APACRB7,2604203
MR,19,2024-08-27 05:49:15,64,0,IDPACT,7317161,A,1,          ,60003193,01996384QCSBE1D,,200000
MR,20,2024-08-27 05:49:15,0A,0,IDPMMF,7317161,L,17,          ,60003193,01996384QCSBE1D,,125290
MR,21,2024-08-27 05:50:05,65,0,IDPDCT,7317163,A,1,          ,60003193,01820338SKY97B7,,0
MA,22,2024-08-30 05:02:30,96,0,IDPDAT,17398389676,Y,369070,  70003193,60003193,01996384QCSBE1D,IOERB19,258349
