RECORD_TYPE,RECORD_ID,DATESTAMP,TRANSACTION_TYPE,DISCOUNT_CODE,D_PRODUCT,MSG_ID,VOLUME_UNIT_TYPE,VOLUME_UNITS,ACCESS_ID,PROFILE_ID,MOBILE_ID,REGION,AMOUNT
MR,1,2024-09-01 00:00:00,0A,0,IDPMMF,6390188,L,100,          ,60003193,01820335SKY0BA8,,737000
MR,2,2024-09-01 00:00:00,0A,0,IDPMMF,7245566,L,100,          ,60003193,01995539QCSF99C,,737000
MR,3,2024-09-01 00:00:00,0A,0,IDPMMF,7317161,L,100,          ,60003193,01996384QCSBE1D,,737000
MR,4,2024-09-01 00:00:00,0A,0,IDPMMF,6718994,L,100,          ,60003193,02004552SKYFDA5,,737000
MR,5,2024-09-01 00:00:00,0A,0,IDPMMF,6718993,L,100,          ,60003193,02004550SKYF59B,,737000
MR,6,2024-09-01 00:00:00,0A,0,IDPMMF,6797169,L,100,          ,60003193,02007950SKY5803,,737000
MR,7,2024-09-01 00:00:00,0A,0,IDPMMF,7025380,L,100,          ,60003193,02046341SKYA1D6,,737000
MR,8,2024-09-01 00:00:00,0A,0,IDPMMF,6893779,L,100,          ,60003193,02046425SKYF37A,,737000
MR,9,2024-09-01 00:00:00,0A,0,IDPMMF,7130826,L,100,          ,60003193,02045636SKY1011,,737000
MA,10,2024-09-01 00:00:03,96,2,IDPDAT,773309537,Y,7275740,  70003193,60003193,01820335SKY0BA8,APACRB7,0
MA,11,2024-09-01 00:00:33,96,0,IDPDAT,17412436117,Y,6177690,  70003193,60003193,02045636SKY1011,APACRB7,4324383
MA,12,2024-09-01 00:02:33,96,0,IDPDAT,17412448508,Y,3928470,  70003193,60003193,01996384QCSBE1D,APACRB7,2749929
MA,13,2024-09-01 00:05:58,96,0,IDPDAT,17412466792,Y,7496480,  70003193,60003193,02046341SKYA1D6,APACRB7,5247536
MA,14,2024-09-01 00:11:28,96,0,IDPDAT,17412494085,Y,7240930,  70003193,60003193,02046425SKYF37A,APACRB7,5068651
MA,15,2024-09-01 00:12:36,96,0,IDPDAT,774143309,Y,6799470,  70003193,60003193,02004552SKYFDA5,APACRB7,4759629
MA,16,2024-09-01 00:12:47,96,0,IDPDAT,792862088,Y,6822420,  70003193,60003193,02004550SKYF59B,APACRB7,4775694
MA,17,2024-09-01 00:25:16,96,0,IDPDAT,17412558893,Y,6022920,  70003193,60003193,02007950SKY5803,APACRB7,4216044
MR,18,2024-09-19 02:32:35,64,0,IDPACT,7361908,A,1,          ,60003193,01995865QCS17FA,,200000
MR,19,2024-09-19 02:32:35,0A,0,IDPMMF,7361908,L,40,          ,60003193,01995865QCS17FA,,294800
MA,20,2024-09-19 06:07:28,96,2,IDPDAT,17557590789,Y,1531180,  70003193,60003193,01995539QCSF99C,APACRB7,0
MA,21,2024-09-19 07:02:33,96,2,IDPDAT,17557863351,Y,593080,  70003193,60003193,01995865QCS17FA,APACRB7,0
MA,22,2024-09-19 07:02:33,96,0,IDPDAT,17557863351,Y,829370,  70003193,60003193,01995865QCS17FA,APACRB7,580559
