RECORD_TYPE,RECORD_ID,DATESTAMP,TRANSACTION_TYPE,DISCOUNT_CODE,D_PRODUCT,MSG_ID,VOLUME_UNIT_TYPE,VOLUME_UNITS,ACCESS_ID,PROFILE_ID,MOBILE_ID,REGION,AMOUNT
MR,1,2024-10-01 00:00:00,0A,31,IDPMMF,6800869,L,100,          ,60002798,01446847SKYCCF8,,198000
MR,2,2024-10-01 00:00:00,0A,31,IDPMMF,6832394,L,100,          ,60002798,01556650SKY598F,,198000
MR,3,2024-10-01 00:00:00,0A,31,IDPMMF,6478791,L,100,          ,60002798,01664109SKY185E,,198000
MR,4,2024-10-01 00:00:00,0A,31,IDPMMF,4962024,L,100,          ,60002798,01664180SKYB5C1,,198000
MR,5,2024-10-01 00:00:00,0A,31,IDPMMF,4964758,L,100,          ,60002798,01664176SKYA5AD,,198000
MR,6,2024-10-01 00:00:00,0A,31,IDPMMF,6478790,L,100,          ,60002798,01664182SKYBDCB,,198000
MR,7,2024-10-01 00:00:00,0A,31,IDPMMF,4995358,L,100,          ,60002798,01665706SKYAB8F,,198000
MR,8,2024-10-01 00:00:00,0A,31,IDPMMF,5250261,L,100,          ,60002798,01680359SKY3DC0,,198000
MR,9,2024-10-01 00:00:00,0A,31,IDPMMF,5215134,L,100,          ,60002798,01680389SKYB656,,198000
MR,10,2024-10-01 00:00:00,0A,31,IDPMMF,5215131,L,100,          ,60002798,01680375SKY7E10,,198000
MR,11,2024-10-01 00:00:00,0A,31,IDPMMF,7122425,L,100,          ,60002798,01680386SKY2A47,,198000
MR,12,2024-10-01 00:00:00,0A,31,IDPMMF,6525343,L,100,          ,60002798,01680599SKY0270,,198000
MR,13,2024-10-01 00:00:00,0A,31,IDPMMF,6681641,L,100,          ,60002798,01689770SKY818F,,198000
MR,14,2024-10-01 00:00:00,0A,31,IDPMMF,6025074,L,100,          ,60002798,01689769SKYFD8A,,198000
MR,15,2024-10-01 00:00:00,0A,31,IDPMMF,6600398,L,100,          ,60002798,01901043SKY43FC,,198000
MR,16,2024-10-01 00:00:00,0A,31,IDPMMF,6751469,L,100,          ,60002798,02045827SKY8FCC,,198000
MR,17,2024-10-01 00:00:00,0A,31,IDPMMF,6745832,L,100,          ,60002798,02045848SKY6435,,198000
MA,18,2024-10-01 00:02:23,96,1,IDPDAT,17650982699,Y,16600,  70002798,60002798,01680389SKYB656,APACRB7,0
MA,19,2024-10-01 00:02:35,96,1,IDPDAT,17650983819,Y,25000,  70002798,60002798,01680386SKY2A47,APACRB7,0
MA,20,2024-10-01 00:02:35,96,0,IDPDAT,17650983819,Y,12910,  70002798,60002798,01680386SKY2A47,APACRB7,71005
MA,21,2024-10-01 00:03:07,96,1,IDPDAT,797199164,Y,11430,  70002798,60002798,01901043SKY43FC,APACRB7,0
MA,22,2024-10-01 00:07:55,96,1,IDPDAT,17651011851,Y,25000,  70002798,60002798,02045827SKY8FCC,APACRB7,0
MA,23,2024-10-01 00:07:55,96,0,IDPDAT,17651011851,Y,12950,  70002798,60002798,02045827SKY8FCC,APACRB7,71225
MA,24,2024-10-01 00:11:11,96,1,IDPDAT,796358672,Y,11780,  70002798,60002798,01689770SKY818F,APACRB7,0
MA,25,2024-10-01 00:42:11,96,1,IDPDAT,17651184785,Y,15460,  70002798,60002798,01664182SKYBDCB,APACRB7,0
MA,26,2024-10-01 00:48:18,96,1,IDPDAT,17651215216,Y,11360,  70002798,60002798,01664180SKYB5C1,APACRB7,0
MA,27,2024-10-01 01:13:56,96,1,IDPDAT,17651346085,Y,15300,  70002798,60002798,01556650SKY598F,APACRB7,0
MA,28,2024-10-01 01:18:08,96,1,IDPDAT,17651366646,Y,7860,  70002798,60002798,01664109SKY185E,APACRB7,0
MA,29,2024-10-01 01:30:33,96,1,IDPDAT,17651426631,Y,19060,  70002798,60002798,01680359SKY3DC0,APACRB7,0
MA,30,2024-10-01 03:55:35,96,1,IDPDAT,17652132431,Y,2110,  70002798,60002798,01665706SKYAB8F,APACRB7,0
MA,31,2024-10-01 05:18:57,96,1,IDPDAT,796512383,Y,15660,  70002798,60002798,01680599SKY0270,APACRB7,0
MA,32,2024-10-01 05:37:34,96,1,IDPDAT,17652622020,Y,7210,  70002798,60002798,01446847SKYCCF8,APACRB7,0
MR,33,2024-10-31 06:40:16,65,0,IDPDCT,7447110,A,1,          ,60002798,01664176SKYA5AD,,0
