sp_id,serial_number,terminal_id,activated,sid,psn,mode,feature_options,profile_id,profile_name,profiles,IP Service Address
122693,01556664SKY91D5,NULL,NULL,NULL,NULL,IsatData Pro,0x0000000000000002,60002718,"DSME",1,NULL
122693,01103026SKYDDB7,NULL,NULL,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01181545SKY374A,NULL,NULL,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01446834SKY18B7,NULL,2019-08-26 09:38:03.077,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01446841SKYB4DA,NULL,NULL,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01446843SKYBCE4,NULL,2020-06-12 05:07:51.037,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01446848SKY50FD,NULL,2019-11-06 04:09:20.553,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01446858SKY792F,NULL,2019-08-26 09:38:03.303,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01446860SKY8139,NULL,2019-08-26 09:38:02.723,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01446863SKY0D48,NULL,2019-07-25 07:23:57.017,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01446867SKY1D5C,NULL,2019-11-06 04:09:20.087,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01446872SKYB175,NULL,NULL,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01596080SKY73AD,NULL,2021-04-22 05:21:50.607,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01596124SKY2489,NULL,2020-06-12 05:04:57.710,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01596134SKY4CBB,NULL,2020-06-12 05:04:57.613,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01613242SKYEADF,NULL,2022-07-01 05:52:48.213,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
