sp_id,serial_number,terminal_id,activated,sid,psn,mode,feature_options,profile_id,profile_name,profiles,IP Service Address
123700,01820313SKYB33A,NULL,NULL,NULL,NULL,IsatData Pro,0x0000000000000002,60003193,"KMA-Pooled",1,NULL
123700,01820334SKY87A3,NULL,NULL,NULL,NULL,IsatData Pro,0x0000000000000002,60003193,"KMA-Pooled",1,NULL
123700,01820335SKY0BA8,NULL,2023-02-28 00:18:49.077,NULL,NULL,IsatData Pro,0x0000000000000002,60003193,"KMA-Pooled",1,NULL
123700,01820338SKY97B7,NULL,2023-01-02 01:08:34.360,NULL,NULL,IsatData Pro,0x0000000000000002,60003193,"KMA-Pooled",1,NULL
123700,01995201QCSAB02,NULL,NULL,NULL,NULL,IsatData Pro,0x0000000000000002,60003193,"KMA-Pooled",1,NULL
123700,01995539QCSF99C,NULL,2024-07-22 01:11:36.727,NULL,NULL,IsatData Pro,0x0000000000000002,60003193,"KMA-Pooled",1,NULL
123700,02004550SKYF59B,NULL,2023-09-20 02:06:03.827,NULL,NULL,IsatData Pro,0x0000000000000002,60003193,"KMA-Pooled",1,NULL
123700,02004552SKYFDA5,NULL,2023-09-20 02:06:04.173,NULL,NULL,IsatData Pro,0x0000000000000002,60003193,"KMA-Pooled",1,NULL
123700,02007950SKY5803,NULL,2023-11-07 07:49:19.230,NULL,NULL,IsatData Pro,0x0000000000000002,60003193,"KMA-Pooled",1,NULL
123700,02045636SKY1011,NULL,2024-05-13 02:49:22.357,NULL,NULL,IsatData Pro,0x0000000000000002,60003193,"KMA-Pooled",1,NULL
123700,02046341SKYA1D6,NULL,2024-03-19 01:47:25.773,NULL,NULL,IsatData Pro,0x0000000000000002,60003193,"KMA-Pooled",1,NULL
123700,02046425SKYF37A,NULL,2024-01-08 02:53:14.780,NULL,NULL,IsatData Pro,0x0000000000000002,60003193,"KMA-Pooled",1,NULL
